BayerF,Common,Parallax,Distance,Umag,Vmag,Bmag,Temp,RA_decimal,Dec_decimal,RA,Dec,Diameter_U,Diameter_V,Diameter_B,Area,Intensity Variation
α Boötis,Arcturus,0.09,11.111,2.46,-0.04,1.19,4850.0,14.261,19.183,14h 15m 39.7s,+19° 10′ 57″,9.26,14.02,10.84,4456.530301466944,0.0016
α Lyrae,Vega,0.123,8.13,0.02,0.03,0.03,10000.0,18.616,38.784,18h 36m 56.3s,+38° 47′ 01″,3.49,3.3,3.28,8495.508708598243,0.132
α Cygni,Deneb,-0.006,-166.667,1.1,1.25,1.34,9500.0,20.691,45.28,20h 41m 25.9s,+45° 16′ 49″,2.36,2.02,1.96,9637.053430500695,1.1602
ε Ursae Majoris,Alioth,0.009,111.111,1.77,1.77,1.75,10000.0,12.9,55.96,12h 54m 01.7s,+55° 57′ 35″,1.56,1.48,1.49,11238.718455269041,0.3259
η Ursae Majoris,Alkaid,0.035,28.571,1.0,1.86,1.67,24000.0,13.792,49.313,13h 47m 32.4s,+49° 18′ 48″,0.7,0.65,0.6,10284.380659272221,39.2902
,,,,,2.0,2.1,24000.0,15.992,25.92,15h 59m 30.2s,+25° 55′ 13″,,0.61,0.49,5928.484808081174,36.7965
α Ursae Minoris,Polaris,0.007,142.857,3.0,2.02,2.62,6450.0,2.53,89.264,02h 31m 48.7s,+89° 15′ 51″,2.63,2.75,2.44,13561.614879450835,0.2396
β Ursae Minoris,Kochab,0.039,25.641,5.33,2.08,3.55,4400.0,14.845,74.156,14h 50m 42.3s,+74° 09′ 20″,3.75,7.0,5.15,13047.466795074337,0.016
α Ophiuchi,Rasalhague,0.067,14.925,2.33,2.08,2.23,8750.0,17.582,12.56,17h 34m 56.1s,+12° 33′ 36″,1.6,1.55,1.5,2949.3774651427525,1.2978
γ Cygni,Sadr,0.003,333.333,3.41,2.2,2.88,6300.0,20.37,40.257,20h 22m 13.7s,+40° 15′ 24″,2.34,2.66,2.3,8764.472186163472,0.1922
α Coronae Borealis,Alphecca,0.045,22.222,2.19,2.23,2.21,10000.0,15.578,26.715,15h 34m 41.3s,+26° 42′ 53″,1.29,1.2,1.2,6097.165894116413,0.3974
γ Draconis,Eltanin,0.025,40.0,5.62,2.23,3.75,4250.0,17.943,51.489,17h 56m 36.4s,+51° 29′ 20″,3.84,7.27,5.35,10612.685010930476,0.0116
ζ Ursae Majoris,Mizar,0.047,21.277,2.32,2.27,2.29,9750.0,13.399,54.925,13h 23m 55.5s,+54° 55′ 31″,1.27,1.22,1.21,11099.7486167934,1.7026
η Ophiuchi,Sabik,0.052,19.231,2.58,2.43,2.49,9500.0,17.173,-14.275,17h 10m 22.7s,-15° 43′ 29″,1.19,1.17,1.15,3344.2470554540632,1.5186
α Cephei,Alderamin,0.068,14.706,2.77,2.44,2.66,8250.0,21.31,62.586,21h 18m 34.8s,+62° 35′ 08″,1.5,1.44,1.38,12039.678321337002,0.28
ζ Ophiuchi,,0.003,333.333,1.72,2.56,2.58,33000.0,16.619,-9.433,16h 37m 09.5s,-10° 34′ 02″,0.4,0.41,0.33,2222.8528714661575,65.6864
β Librae,Zubeneschamali,-0.003,-333.333,2.14,2.61,2.5,14000.0,15.283,-8.617,15h 17m 00.4s,-09° 22′ 59″,0.75,0.69,0.66,2032.086874313585,29.8378
α Serpentis,Unukalhai,0.053,18.868,5.06,2.65,3.82,4700.0,15.738,6.426,15h 44m 16.1s,+06° 25′ 32″,3.19,4.44,3.59,1517.9395226427305,0.036
ε Boötis,Izar,0.016,62.5,4.4,2.7,3.67,5000.0,14.75,27.074,14h 44m 59.2s,+27° 04′ 27″,3.35,3.66,3.13,6172.954821036539,0.089
δ Ophiuchi,Yed Prior,0.034,29.412,6.28,2.74,4.32,3500.0,16.239,-2.306,16h 14m 20.7s,-03° 41′ 40″,7.68,11.25,9.35,545.7159603424465,0.0025
η Draconis,,0.051,19.608,4.35,2.74,3.65,5200.0,16.4,61.514,16h 23m 59.5s,+61° 30′ 51″,2.95,3.24,2.78,11920.743557411033,0.2891
β Herculis,Kornephoros,0.024,41.667,4.4,2.77,3.71,5300.0,16.504,21.49,16h 30m 13.2s,+21° 29′ 23″,2.68,3.04,2.55,4968.556088871794,0.1557
β Ophiuchi,Cebalrai,0.033,30.303,5.17,2.77,3.93,4700.0,17.725,4.567,17h 43m 28.4s,+04° 34′ 02″,3.03,4.2,3.41,1079.9300744648297,0.0685
β Draconis,Rastaban,0.013,76.923,4.41,2.79,3.77,5800.0,17.507,52.301,17h 30m 26.0s,+52° 18′ 05″,1.94,2.43,1.91,10731.298955167562,0.1963
ζ Herculis,,0.102,9.804,3.67,2.81,3.46,6000.0,16.688,31.603,16h 41m 17.2s,+31° 36′ 11″,2.43,2.23,2.0,7107.28622609602,0.1944
δ Cygni,Al Fawaris,0.03,33.333,2.74,2.87,2.84,12000.0,19.75,45.131,19h 44m 58.5s,+45° 07′ 51″,0.72,0.71,0.69,9612.203081508322,31.5107
ζ Aquilae,Deneb el Okab,0.045,22.222,2.99,2.99,3.0,10000.0,19.09,13.863,19h 05m 24.6s,+13° 51′ 48″,0.89,0.84,0.84,3249.6463728172266,10.8354
γ Boötis,Seginus,0.025,40.0,3.34,3.03,3.22,8250.0,14.535,38.308,14h 32m 04.7s,+38° 18′ 30″,1.15,1.1,1.07,8407.384119561979,2.6081
γ Ursae Minoris,Pherkad,0.003,333.333,3.22,3.05,3.1,9250.0,15.345,71.834,15h 20m 43.7s,+71° 50′ 02″,0.94,0.91,0.91,12886.729599869737,19.1352
δ Draconis,Altais,0.032,31.25,4.85,3.07,4.07,5100.0,19.209,67.662,19h 12m 33.3s,+67° 39′ 42″,2.52,2.93,2.44,12544.95714998799,0.1881
β¹ Cygni,Albireo,0.017,58.824,4.83,3.08,4.21,4550.0,19.512,27.96,19h 30m 43.3s,+27° 57′ 35″,4.07,3.99,3.36,6358.956053791982,0.0979
δ Herculis,Sarin,0.044,22.727,3.3,3.14,3.22,9250.0,17.251,24.839,17h 15m 01.9s,+24° 50′ 21″,0.91,0.88,0.86,5697.296116394032,10.0677
π Herculis,,0.025,40.0,6.26,3.16,4.6,4550.0,17.251,36.809,17h 15m 02.8s,+36° 48′ 33″,2.11,3.85,2.81,8126.103442433322,0.0967
ζ Draconis,Aldhibain,0.023,43.478,2.62,3.17,3.05,18000.0,17.146,65.715,17h 08m 47.2s,+65° 42′ 53″,0.44,0.43,0.4,12362.580824774972,69.2004
κ Ophiuchi,,0.031,32.258,5.53,3.2,4.35,4700.0,16.961,9.375,16h 57m 40.1s,+09° 22′ 30″,2.57,3.44,2.81,2209.3079522711582,0.0637
γ Cephei,Errai,0.064,15.625,5.18,3.21,4.24,4850.0,23.656,77.632,23h 39m 20.8s,+77° 37′ 57″,2.65,3.14,2.66,13247.970701125227,0.226
β Cephei,Alfirk,0.014,71.429,2.06,3.23,3.01,28000.0,21.478,70.561,21h 28m 39.6s,+70° 33′ 39″,0.38,0.32,0.29,12789.608449841382,81.0553
ε Ophiuchi,Yed Posterior,0.043,23.256,4.95,3.24,4.2,5100.0,16.305,-3.307,16h 18m 19.3s,-04° 41′ 33″,2.41,2.71,2.3,782.3798245169708,0.2298
γ Lyrae,Sulafat,0.021,47.619,3.1,3.24,3.19,12000.0,18.982,32.689,18h 58m 56.6s,+32° 41′ 22″,0.61,0.6,0.58,7324.944376242957,40.449
η Serpentis,,0.058,17.241,4.86,3.26,4.2,5000.0,18.355,-1.101,18h 21m 18.6s,-02° 53′ 56″,2.71,2.83,2.45,260.6064727132127,0.2576
ι Draconis,Edasich,0.04,25.0,5.67,3.29,4.45,4700.0,15.415,58.966,15h 24m 55.8s,+58° 57′ 58″,2.41,3.3,2.69,11621.384749369701,0.2669
δ Ursae Majoris,Megrez,0.061,16.393,3.46,3.31,3.39,9250.0,12.257,57.032,12h 15m 25.6s,+57° 01′ 57″,0.84,0.81,0.8,11378.789497260237,24.3536
ν Ophiuchi,Sinistra,0.021,47.619,5.21,3.34,4.33,5000.0,17.984,-8.226,17h 59m 01.6s,-09° 46′ 25″,2.31,2.72,2.31,1940.529719330826,0.2268
μ Herculis,,0.108,9.259,4.56,3.42,4.17,5500.0,17.774,27.721,17h 46m 27.5s,+27° 43′ 14″,2.18,2.06,1.85,6308.929821579895,0.5132
η Cephei,,0.071,14.085,4.97,3.43,4.35,5000.0,20.755,61.839,20h 45m 17.4s,+61° 50′ 20″,2.58,2.61,2.29,11957.24392139797,0.1434
β Lyrae,Sheliak,-0.002,-500.0,2.89,3.45,3.45,14000.0,18.835,33.363,18h 50m 04.8s,+33° 21′ 46″,0.53,0.47,0.43,7458.7102575970885,57.7514
δ Boötis,,0.03,33.333,5.08,3.47,4.42,5200.0,15.258,33.315,15h 15m 30.2s,+33° 18′ 53″,2.11,2.31,1.95,7449.217821174633,0.1143
α¹ Herculis,Rasalgethi,-0.002,-500.0,5.93,3.48,4.92,2750.0,17.244,14.39,17h 14m 38.9s,+14° 23′ 25″,42.08,22.58,25.22,3370.6219259075538,0.0003
β Boötis,Nekkar,0.037,27.027,5.19,3.5,4.47,5200.0,15.032,40.391,15h 01m 56.8s,+40° 23′ 26″,2.0,2.28,1.91,8788.65521405708,0.2323
ι Cephei,,0.041,24.39,5.47,3.52,4.57,5000.0,22.828,66.201,22h 49m 40.8s,+66° 12′ 02″,2.05,2.51,2.07,12409.44998863305,0.2987
μ Serpentis,,0.007,142.857,3.39,3.53,3.49,10000.0,15.827,-2.57,15h 49m 37.2s,-03° 25′ 49″,0.74,0.66,0.67,608.1519305593757,31.1734
η Herculis,,0.034,29.412,5.05,3.53,4.45,5300.0,16.715,38.922,16h 42m 53.8s,+38° 55′ 20″,1.99,2.15,1.82,8520.948064666083,0.5269
ξ Serpentis,,0.03,33.333,3.94,3.54,3.8,7500.0,17.626,-14.601,17h 37m 35.2s,-15° 23′ 55″,1.11,1.02,1.0,3418.9786896644478,5.8773
χ Draconis,,0.12,8.333,4.0,3.57,4.06,6450.0,18.351,72.733,18h 21m 03.4s,+72° 43′ 58″,1.66,1.35,1.26,12951.487439280832,1.0614
ρ Boötis,,0.029,34.483,6.32,3.58,4.88,4550.0,14.53,30.371,14h 31m 49.8s,+30° 22′ 17″,2.05,3.17,2.47,6857.279475108756,0.1347
α Draconis,Thuban,0.018,55.556,3.52,3.65,3.6,10000.0,14.073,64.376,14h 04m 23.3s,+64° 22′ 33″,0.7,0.62,0.63,12228.858725199876,46.7204
β Serpentis,Chow,0.041,24.39,3.81,3.67,3.73,9500.0,15.77,15.422,15h 46m 11.3s,+15° 25′ 19″,0.68,0.66,0.65,3606.6874151371926,27.6614
β Coronae Borealis,Nusakan,0.032,31.25,4.07,3.68,3.96,7500.0,15.464,29.106,15h 27m 49.7s,+29° 06′ 21″,1.05,0.96,0.92,6597.278300689595,6.3352
ξ Herculis,,0.021,47.619,5.34,3.7,4.64,5200.0,17.963,29.248,17h 57m 45.9s,+29° 14′ 52″,1.87,2.08,1.77,6626.626786923463,0.4927
ε Serpentis,,0.041,24.39,3.97,3.71,3.86,9500.0,15.847,4.478,15h 50m 49.0s,+04° 28′ 40″,0.63,0.65,0.61,1058.9280934539433,29.8699
,,0.037,27.027,3.68,3.72,3.71,10000.0,14.771,1.893,14h 46m 14.9s,+01° 53′ 34″,0.65,0.6,0.6,448.01876759829355,36.9294
,,0.047,21.277,3.95,3.73,3.85,9000.0,18.122,9.564,18h 07m 21.0s,+09° 33′ 50″,0.71,0.7,0.68,2253.4373023715425,22.7652
γ Herculis,,0.024,41.667,4.2,3.75,4.02,7750.0,16.365,19.153,16h 21m 55.2s,+19° 09′ 11″,0.9,0.88,0.84,4449.822574761194,8.9047
γ Ophiuchi,,0.039,25.641,3.83,3.75,3.79,10000.0,17.798,2.707,17h 47m 53.6s,+02° 42′ 26″,0.6,0.59,0.58,640.5474102343661,37.9641
ξ Draconis,Grumium,0.035,28.571,6.14,3.75,4.93,4700.0,17.892,56.873,17h 53m 31.7s,+56° 52′ 22″,1.94,2.67,2.15,11358.264444939006,0.1144
κ Cygni,,0.024,41.667,5.47,3.77,4.73,5100.0,19.285,53.369,19h 17m 06.2s,+53° 22′ 07″,1.9,2.12,1.8,10884.022974096273,1.0329
ι² Cygni,,0.005,200.0,4.04,3.79,3.93,8750.0,19.495,51.73,19h 29m 42.3s,+51° 43′ 47″,0.73,0.71,0.69,10648.112910047283,33.453
,,0.007,142.857,5.49,3.79,5.07,4700.0,20.227,46.741,20h 13m 37.9s,+46° 44′ 29″,2.61,2.62,2.02,9877.241758419772,0.118
δ Serpentis,,0.021,47.619,4.19,3.8,4.06,7500.0,15.58,10.537,15h 34m 48.1s,+10° 32′ 15″,0.99,0.91,0.88,2480.223186336541,6.6245
δ Serpentis,,0.021,47.619,4.18,3.8,4.06,7500.0,15.58,10.539,15h 34m 48.1s,+10° 32′ 21″,0.99,0.91,0.88,2480.6886301290915,6.6245
ι Herculis,,0.005,200.0,2.93,3.8,3.62,24000.0,17.658,46.006,17h 39m 27.9s,+46° 00′ 23″,0.29,0.27,0.24,9757.200825406888,83.5096
λ Ophiuchi,Marfik,0.01,100.0,3.84,3.82,3.83,10000.0,16.515,1.984,16h 30m 54.8s,+01° 59′ 02″,0.6,0.58,0.57,469.5474445540568,39.5075
δ Sagittae,,0.001,1000.0,6.19,3.82,5.23,3200.0,19.79,18.534,19h 47m 23.3s,+18° 32′ 03″,13.59,9.77,9.51,4311.150230627097,0.0051
ο Herculis,,0.005,200.0,3.73,3.83,3.8,12000.0,18.126,28.762,18h 07m 32.6s,+28° 45′ 45″,0.46,0.46,0.44,6526.012924059493,57.8165
ε Draconis,Tyl,0.016,62.5,5.24,3.83,4.72,5300.0,19.803,70.268,19h 48m 10.4s,+70° 16′ 04″,1.82,1.87,1.6,12766.358993526035,1.3668
λ Draconis,Gianfar,0.026,38.462,7.43,3.84,5.46,3500.0,11.523,69.331,11h 31m 24.2s,+69° 19′ 52″,4.52,6.78,5.53,12689.770421495687,0.0144
γ Coronae Borealis,,0.033,30.303,3.8,3.84,3.84,12000.0,15.712,26.296,15h 42m 44.6s,+26° 17′ 44″,0.44,0.46,0.43,6008.407781657549,57.0272
,,0.025,40.0,6.19,3.84,5.02,4700.0,18.395,21.77,18h 23m 41.9s,+21° 46′ 11″,1.89,2.56,2.07,5030.168848855146,0.2549
γ Serpentis,,0.069,14.493,4.3,3.85,4.33,6600.0,15.941,15.662,15h 56m 27.2s,+15° 39′ 42″,1.35,1.13,1.05,3661.421471444511,0.8201
α Scuti,,0.016,62.5,6.72,3.85,5.18,4550.0,18.587,-7.756,18h 35m 12.4s,-08° 14′ 39″,1.7,2.8,2.15,1830.354580860532,0.2608
